Name,Hash,Description
WHITE.PAL,0xE14C,
EG280001.RAW,0x595C,
SC28A.EG2,0xE300,
SC28B1.EG2,0x941F,
SC28C.EG2,0xE320,
SC28D.EG2,0xE330,
SC28E.EG2,0xE340,
SC28F.EG2,0xE350,
SC28G.EG2,0xE360,
SC28H.EG2,0xE370,
SC28I.EG2,0xE380,
SC28J.EG2,0xE390,
SC28K.EG2,0xE3A0,
SC28L.EG2,0xE3B0,
SC28M.EG2,0xE3C0,
SC28N.EG2,0xE3D0,
SC30.EG2,0xF337,
BALL.INT,0xA2A4,
BIRD01.INT,0x6B3D,
BIRD02.INT,0x6B4D,
BIRD03.INT,0x6B5D,
BIRD04.INT,0x6B6D,
BIRD05.INT,0x6B7D,
BIRD06.INT,0x6B8D,
BIRD07.INT,0x6B9D,
BIRD08.INT,0x6BAD,
BIRD09.INT,0x6BBD,
BIRD10.INT,0x8B2D,
BIRD11.INT,0x8B3D,
CLAW.INT,0xC613,
DARKLORD.INT,0xB76F,
DRAGON.INT,0xD6CC,
DRAGON1.INT,0xB61C,
DROP1.INT,0x687D,
DROP2.INT,0x688D,
DROP3.INT,0x689D,
DROP4.INT,0x68AD,
END1.INT,0x2435,
END2.INT,0x2445,
END3.INT,0x2455,
FLY.INT,0xA493,
GOON.INT,0x8647,
NWC1.INT,0x8679,
NWC2.INT,0x8689,
NWC3.INT,0x8699,
NWC4.INT,0x86A9,
PYRAMID.INT,0x57D7,
PYRATOP.INT,0x1A58,
QUEEN.INT,0x94CD,
TITLE.INT,0x7AF8,
WIZARD.INT,0xABDF,
FIZZLE.INT,0xF20C,
WIZMTH.INT,0xEF1F,
FIREMAIN.PAL,0x14B3,
FIREMAIN.RAW,0x14C6,
WFIRE1.INT,0x8BE5,
WFIRE2.INT,0x8BF5,
WFIRE3.INT,0x8C05,
WFIRE4.INT,0x8C15,
WFIRE5.INT,0x8C25,
WFIRE6.INT,0x8C35,
WFIRE7.INT,0x8C45,
DARK.PAL,0x48AA,
FLY.PAL,0x8AA7,
JVC.RAW,0xCA5B,
1ROOM.RAW,0x1D64,
2ROOM.RAW,0x1E64,
3ROOM.RAW,0x1F64,
BALL.RAW,0x88CB,
BIRD.RAW,0x4A4C,
DROP.RAW,0xED4C,
END.RAW,0xC92A,
FLY.RAW,0x8ABA,
NWC1.RAW,0x6CA0,
NWC2.RAW,0x6CB0,
PYRAMID1.RAW,0xB145,
PYRAMID2.RAW,0xB155,
PYRAMID3.RAW,0xB165,
ALAMAR1.VOC,0x28B7,
COMET.VOC,0x8B4D,
DARK3.VOC,0x4B77,
DRAGON1.VOC,0xB83F,
DRAGON2.VOC,0xB84F,
DRAGON3.VOC,0xB85F,
ELLINGER.VOC,0x426E,
PHAROH11.VOC,0x39DE,
PHAROH1A.VOC,0x3ADE,
PHAROH1B.VOC,0x3AEE,
PHAROH2A.VOC,0x5ADE,
PHAROH2B.VOC,0x5AEE,
PHAROH2C.VOC,0x5AFE,
PHAROH2D.VOC,0x5B0E,
PHAROH2E.VOC,0x5B1E,
PHAROH3.VOC,0xA850,
PHAROH4.VOC,0xA860,
PHAROH5A.VOC,0xBADE,
PHAROH5B.VOC,0xBAEE,
PHAROH6W.VOC,0xDC3E,
PHAROH7T.VOC,0xFC0E,
PHAROH8.VOC,0xA8A0,
PHAROH9A.VOC,0x3ADF,
PHAROH9B.VOC,0x3AEF,
QUEEN1.VOC,0xB9BB,
QUEEN2.VOC,0xB9CB,
QUEENHIS.VOC,0xE310,
,0x761E,Identical to VINE.VOC?
THUD.VOC,0xC611,
VINE.VOC,0xE661,
YA1.VOC,0x48F5,
ADMUS,0xCF99,
ADSND,0xC1A2,
BLASTMUS,0x83E3,
BLASTSND,0x75EC,
CANMUS,0x7FA2,
,0x53BD,Unknown File
CPSTRUCT,0x1117,
FNT,0x9D6C,
,0xB41C,Unknown File
IBMMUS,0x37B3,
IBMSND,0x29BC,
NULLMUS,0xC3D4,
NULLSND,0xB5DD,
PROMUS,0x28B4,
PROSND,0x1ABD,
ROLMUS,0x5084,
SOURCE,0x948A,
SPECMUS,0xDCA3,
SPECSND,0xCEAC,
,0x0EB2,Unknown (Effect List?)
,0xEDA5,Unknown (Instrument List?)
BIGTHEME.M,0xA864,
CANTHEME.M,0x206A,
OUTDAY3.M,0x8D5F,
